ID,iri_mean,iri_med,iri_min,iri_max,iri_stdev,speed_mean,speed_med,VPROMMS_ID,length,ACCESS_SCORE,POV_SCORE,RISK_SCORE,CRIT_SCORE,ROUGHNESS_SCORE,Access_weight,Pov_weight,Risk_weight,Crit_weight,Rough_weight,PCS
21,6.99631578947,7.32,3.43,10.09,1.85621242357,31.6694736842,32.29,Input VPROMMS: 214YD00004 (63.79 pct); 214YD00008 (36.21 pct); ,0.839620944801,0,0.34664065225,0.391779645679,0.000218929648959,0.299204555813,0.25,0.2,0.2,0.25,0.1,0.177659247579
22,3.85,3.58,3.53,4.96,0.622454817637,21.764,21.93,214YD00005,0.913149329114,0,0.34664065225,0.391779645679,0.0,0.10693116172,0.25,0.2,0.2,0.25,0.1,0.158377175758
23,8.856875,9.56,4.76,13.45,3.63900117935,23.29875,22.625,Input VPROMMS: 213YD00005 (54.39 pct); 214YD00003 (45.61 pct); ,1.00211526894,0,0.34664065225,0.392548074555,0.00111619573752,0.424803269254,0.25,0.2,0.2,0.25,0.1,0.190597121221
24,,,,,,,,214YD00003,0.163563076921,0,0.34664065225,0.391741013859,0.0,,0.25,0.2,0.2,0.25,0.1,0.147676333222
25,,,,,,,,Input VPROMMS: 213YD00007 (50.0 pct); 212TH00024 (50.0 pct); ,0.0611377386684,0,0.0925212478574,0.391741013859,0.0041417778627,,0.25,0.2,0.2,0.25,0.1,0.097887896809
26,3.003,2.935,2.61,3.52,0.291053641486,23.797,24.24,214YD00012,1.37461293692,0,0.0991629845542,0.393988468291,0.296883612604,0.061119657476,0.25,0.2,0.2,0.25,0.1,0.178963159468
27,,,,,,,,214YD00006,0.0718955785209,0,0.34664065225,0.391745401668,0.0,,0.25,0.2,0.2,0.25,0.1,0.147677210784
28,3.842,3.5,3.31,5.2,0.774674125036,28.208,27.94,214YD00011,0.638653055988,0,0.219580950054,0.391741013859,0.0,0.105704788235,0.25,0.2,0.2,0.25,0.1,0.132834871606
29,10.8533333333,10.61,9.66,12.29,1.33177825982,34.6166666667,33.86,212TH00024,1.09157805082,0,0.0925212478574,0.391781538619,0.0041417778627,0.483305901295,0.25,0.2,0.2,0.25,0.1,0.14622659189
30,2.655,2.655,2.6,2.71,0.0777817459305,22.045,22.045,Input VPROMMS: 213YD00005 (63.16 pct); 214YD00001 (36.84 pct); ,0.267963462789,0,0.34664065225,0.391762523673,0.000671016653648,0.0414438934131,0.25,0.2,0.2,0.25,0.1,0.151992778689
31,,,,,,,,214YD00007,0.285420674536,0,0.34664065225,0.391743207764,0.0,,0.25,0.2,0.2,0.25,0.1,0.147676772003
32,4.15,4.15,4.15,4.15,,24.95,24.95,214YD00006,0.373649014611,0,0.195714764026,0.391743207764,0.0,0.121561582237,0.25,0.2,0.2,0.25,0.1,0.129647752582
33,,,,,,,,213YD00005,0.056328213486,0,0.34664065225,0.391779645679,0.000671016653648,,0.25,0.2,0.2,0.25,0.1,0.147851813749
34,,,,,,,,213YD00005,0.269853157154,0,0.34664065225,0.391762523673,0.0,,0.25,0.2,0.2,0.25,0.1,0.147680635185
35,15.725,15.725,6.87,24.58,12.5228610948,27.205,27.205,212TH00029,0.264194119805,0,0.34664065225,0.391779645679,0.000508771860655,0.791790828017,0.25,0.2,0.2,0.25,0.1,0.226990335353
36,7.63846153846,7.45,4.97,11.9,1.80977367901,33.8569230769,34.24,212TH00029,2.10348248279,0,0.195714764026,0.43737145757,0.00133960952139,0.334608805891,0.25,0.2,0.2,0.25,0.1,0.160413027289
37,13.095,8.11,5.34,44.01,12.3655829748,30.4892857143,29.365,212TH00030,2.38708725473,0,0.161812390272,0.585948787632,0.522157616695,0.732677474531,0.25,0.2,0.2,0.25,0.1,0.353359387208
38,5.40666666667,5.49,4.84,5.89,0.529937103186,37.0833333333,38.92,Input VPROMMS: transit fr (66.67 pct); 214YD00059 (19.05 pct); transit 4_ (9.52 pct); 212TH00030 (4.76 pct); ,0.809233788042,0,0.19089628811,0.755252727663,0.00643472136097,0.193996507346,0.25,0.2,0.2,0.25,0.1,0.210238134229
39,3.23769230769,2.17,1.0,7.46,2.37226387601,32.44,33.82,Input VPROMMS: transit fr (43.75 pct); 214YD00062 (39.06 pct); 214YD00045 (17.19 pct); ,3.8055081842,0,0.119649225463,0.706033974202,0.00434726104085,0.0714184639548,0.25,0.2,0.2,0.25,0.1,0.173365301589
40,3.105,2.99,2.64,3.8,0.542371336509,26.2025,25.13,214YD00044,0.659556387972,0,0.19089628811,0.664883585419,0.0,0.0666168228321,0.25,0.2,0.2,0.25,0.1,0.177817656989
41,8.46375,8.495,7.52,9.68,0.698630036981,28.98125,27.73,213YD00007,1.33621799391,0,0.172106396898,0.423177965556,0.00286149386042,0.362607173209,0.25,0.2,0.2,0.25,0.1,0.156032963277
42,9.47166666667,9.43,7.67,11.58,1.2672713469,32.16,30.725,212TH00024,1.88334736224,0,0.106359792107,0.391926667168,0.00328409550528,0.419450211747,0.25,0.2,0.2,0.25,0.1,0.142423336906
43,,,,,,,,214YD00051,0.492778279508,0,0.0447888758011,0.391862655571,0.0,,0.25,0.2,0.2,0.25,0.1,0.0873303062744
44,15.3525,8.055,6.55,38.75,15.6144641812,29.885,30.42,212TH00030,0.485694420479,0,0.19089628811,0.393569343126,1.0,0.692968254139,0.25,0.2,0.2,0.25,0.1,0.436189951661
45,14.1891304348,10.33,6.9,48.41,11.5866545148,32.5313043478,35.4,Input VPROMMS: 212TH00030 (73.33 pct); transit ro (18.1 pct); transit 7_ (6.67 pct); 214YD00059 (1.9 pct); ,3.96396173725,0,0.119649225463,0.544635087867,0.0,0.865933337106,0.25,0.2,0.2,0.25,0.1,0.219450196377
46,5.66,5.46,1.89,10.49,3.74405528805,30.51,31.89,Input VPROMMS: 212TH00030 (50.0 pct); 214YD00044 (50.0 pct); ,0.319177329151,0,0.19089628811,0.393570636791,0.522157616695,0.22800864916,0.25,0.2,0.2,0.25,0.1,0.27023365407
47,7.225,7.35,6.37,7.83,0.651690110405,22.555,22.695,214YD00049,0.329463316717,0,0.0447888758011,0.423078609251,0.0,0.292904246049,0.25,0.2,0.2,0.25,0.1,0.122863921615
48,3.27636363636,3.29,1.61,4.88,1.12319430845,31.1863636364,32.46,214YD00044,2.52176716247,0,0.19089628811,0.420600623847,0.631011797502,0.0832985339262,0.25,0.2,0.2,0.25,0.1,0.28838218516
49,,,,,,,,212TH00029,0.537239778969,0,0.0447888758011,0.404243652724,0.00133960952139,,0.25,0.2,0.2,0.25,0.1,0.0901414080854
50,8.185,8.11,6.99,9.19,0.907672848553,26.9916666667,27.08,214YD00026,0.597667574382,0,0.129309785481,0.392071795716,0.0,0.340560689351,0.25,0.2,0.2,0.25,0.1,0.138332385174
51,8.704,8.885,6.18,10.31,1.37382030201,32.128,32.695,212TH00024,1.32123981277,0,0.129309785481,0.392058287463,0.00103319715644,0.376055595598,0.25,0.2,0.2,0.25,0.1,0.142137473438
52,9.275,9.185,7.07,11.76,1.45684278805,25.1575,25.355,214YD00028,2.14126312243,0,0.113279064233,0.390957476152,0.000243471980986,0.409194573835,0.25,0.2,0.2,0.25,0.1,0.141827633456
53,5.82666666667,5.82,4.81,6.85,1.02001633974,36.0433333333,39.75,212TH00029,0.854734557699,0,0.148240210869,0.393614237623,0.00133960952139,0.217071692646,0.25,0.2,0.2,0.25,0.1,0.130412961343
54,4.65,4.59,3.98,5.77,0.541582044672,25.654,24.89,214YD00046,1.89681560962,0,0.19089628811,0.397627490511,0.0,0.154964123197,0.25,0.2,0.2,0.25,0.1,0.133201168044
55,10.64,10.405,8.78,11.99,1.1034879765,21.50375,21.18,214YD00025,1.77524025104,0,0.129309785481,0.392618023234,0.0,0.467581785126,0.25,0.2,0.2,0.25,0.1,0.151143740256
56,7.18,7.18,7.18,7.18,,28.21,28.21,Input VPROMMS: 214YD00034 (50.0 pct); 213YD00012 (50.0 pct); ,0.0500758474088,0,0.0447888758011,0.575161649932,0.0,0.284540163732,0.25,0.2,0.2,0.25,0.1,0.15244412152
57,6.77774193548,6.85,4.91,8.61,0.99880832221,30.8316129032,29.67,Input VPROMMS: 213YD00012 (62.83 pct); transit fr (23.01 pct); 214YD00034 (13.27 pct); 214YD00064 (0.88 pct); ,3.03506637683,0,0.0465955193086,0.540414298301,0.00151492226754,0.274899910364,0.25,0.2,0.2,0.25,0.1,0.145270685125
58,3.15571428571,1.75,1.0,7.82,2.42546195894,30.5133333333,31.08,Input VPROMMS: 214YD00033 (54.29 pct); 213YD00011 (44.29 pct); 214YD00034 (1.43 pct); ,1.27509494451,0,0.148240210869,0.450887647381,0.00217604743081,0.0612956220925,0.25,0.2,0.2,0.25,0.1,0.126499145717
59,4.368,4.25,3.54,5.26,0.621425779961,25.692,25.39,214YD00023,0.522623481804,0,0.251691545938,0.39198416242,0.00286149386042,0.134621384081,0.25,0.2,0.2,0.25,0.1,0.142912653545
60,8.965,8.965,8.52,9.41,0.629325035256,25.045,25.045,213YD00007,0.125828559021,0,0.251691545938,0.39425208711,0.0,0.382945878202,0.25,0.2,0.2,0.25,0.1,0.16748331443
61,4.02,4.09,3.59,4.38,0.399624824054,26.44,26.65,214YD00023,0.335180186786,0,0.251691545938,0.39198416242,0.00675908311643,0.118388071904,0.25,0.2,0.2,0.25,0.1,0.142263719641
62,,,,,,,,212TH00029,0.0248282024769,0,0.251691545938,0.39198416242,0.00286149386042,,0.25,0.2,0.2,0.25,0.1,0.129450515137
63,8.1825,8.085,7.51,9.05,0.719229912244,23.2275,23.29,Input VPROMMS: 214YD00050 (58.49 pct); 214YD00052 (26.42 pct); 214YD00048 (11.32 pct); 214YD00051 (3.77 pct); ,0.799904520066,0,0.0447888758011,0.57636385556,0.0,0.34103133707,0.25,0.2,0.2,0.25,0.1,0.158333679979
64,7.98875,7.715,5.86,11.79,1.48343699768,32.81,33.14,Input VPROMMS: 214YD00034 (50.7 pct); 213YD00012 (42.25 pct); 214YD00052 (2.82 pct); return_1 (2.82 pct); 214YD00050 (1.41 pct); ,1.57127770692,0,0.214344567369,0.523341137735,0.0,0.348649106576,0.25,0.2,0.2,0.25,0.1,0.182402051678
65,6.16,6.1,4.9,7.48,1.29104608748,32.0133333333,33.31,212TH00029,0.310938970859,0,0.251691545938,0.390638611337,0.0,0.235162494487,0.25,0.2,0.2,0.25,0.1,0.151982280904
66,,,,,,,,214YD00026,0.122908038336,0,0.129309785481,0.392112320476,0.334755380935,,0.25,0.2,0.2,0.25,0.1,0.187973266425
67,,,,,,,,214YD00048,0.0364547482068,0,0.0447888758011,0.575451417817,0.0,,0.25,0.2,0.2,0.25,0.1,0.124048058724
68,7.58277777778,7.325,6.39,9.74,0.902355124794,34.7461111111,34.955,Input VPROMMS: 212TH00027 (70.69 pct); 212YD00027 (27.59 pct); 214YD00028 (1.72 pct); ,2.06641682263,0,0.174469944461,0.39394988078,0.0,0.314676558935,0.25,0.2,0.2,0.25,0.1,0.145151620942
69,6.63333333333,6.53,6.23,7.14,0.463716867639,21.7566666667,22.43,214YD00048,0.394054830231,0,0.0447888758011,0.571924626546,0.0,0.255082098892,0.25,0.2,0.2,0.25,0.1,0.148850910359
70,8.87,8.5,7.27,11.48,1.44016864092,29.1875,26.97,212TH00024,0.991236996503,0,0.129309785481,0.39097754136,0.000968680320496,0.382972772357,0.25,0.2,0.2,0.25,0.1,0.142596912684
71,3.50714285714,1.7,1.34,6.3,2.50646307431,28.3385714286,28.7,Input VPROMMS: 214YD00033 (53.85 pct); 213YD00011 (46.15 pct); ,0.260711785569,0,0.251691545938,0.390638611337,0.000525582477464,0.047049403795,0.25,0.2,0.2,0.25,0.1,0.133302367454
72,3.51625,1.96,1.26,8.39,2.79274538505,33.14625,35.42,Input VPROMMS: 214YD00033 (53.33 pct); 213YD00011 (46.67 pct); ,0.316551649778,0,0.251691545938,0.390638611337,0.000397882780802,0.0775425734479,0.25,0.2,0.2,0.25,0.1,0.136319759495
73,3.095,3.115,2.71,3.35,0.221246468898,24.2616666667,24.98,214YD00019,0.798133596803,0,0.251691545938,0.389827064773,0.0,0.0661327280355,0.25,0.2,0.2,0.25,0.1,0.134916994946
74,2.575,2.575,2.51,2.64,0.0919238815543,22.715,22.715,214YD00017,0.434850622127,0,0.0972483429845,0.394842333215,0.0,0.0371946168659,0.25,0.2,0.2,0.25,0.1,0.102137596926
75,6.9348,6.88,4.3,9.37,1.20918746823,28.8108,28.32,Input VPROMMS: 212TH00027 (54.55 pct); 212YD00027 (45.45 pct); ,1.5866900557,0,0.0972483429845,0.389295757152,0.0,0.281607625031,0.25,0.2,0.2,0.25,0.1,0.12546958253
