,lines,shapely,length,start,end
0,"LINESTRING (105.7467170003 19.93364542425561, 105.7467233416712 19.93365185776683)","LINESTRING (105.7467170003 19.93364542425561, 105.7467233416712 19.93365185776683)",0.973330446584,POINT (105.7467170003 19.93364542425561),POINT (105.7467233416712 19.93365185776683)
1,"LINESTRING (105.7467175654754 19.93365015653973, 105.7467232819018 19.93365187842642)","LINESTRING (105.7467175654754 19.93365015653973, 105.7467232819018 19.93365187842642)",0.627878206754,POINT (105.7467175654754 19.93365015653973),POINT (105.7467232819018 19.93365187842642)
2,"LINESTRING (105.7467209486549 19.93365243814701, 105.7467230772224 19.93365199010201, 105.7467231514047 19.93365196447346)","LINESTRING (105.7467209486549 19.93365243814701, 105.7467230772224 19.93365199010201, 105.7467231514047 19.93365196447346)",0.23648629844,POINT (105.7467209486549 19.93365243814701),POINT (105.7467231514047 19.93365196447346)
3,"LINESTRING (105.7467216336296 19.93365412494882, 105.7467231514047 19.93365196447346)","LINESTRING (105.7467216336296 19.93365412494882, 105.7467231514047 19.93365196447346)",0.2870506948,POINT (105.7467216336296 19.93365412494882),POINT (105.7467231514047 19.93365196447346)
4,"LINESTRING (105.7467218508612 19.93364649956771, 105.7467233799916 19.93365185459016)","LINESTRING (105.7467218508612 19.93364649956771, 105.7467233799916 19.93365185459016)",0.613854879659,POINT (105.7467218508612 19.93364649956771),POINT (105.7467233799916 19.93365185459016)
9,"LINESTRING (105.7501285500607 19.94511367812524, 105.7501351497867 19.94511613968513, 105.7501367689266 19.94511698586172, 105.7501396688396 19.94511807007789, 105.7501625313502 19.94512998322745)","LINESTRING (105.7501285500607 19.94511367812524, 105.7501351497867 19.94511613968513, 105.7501367689266 19.94511698586172, 105.7501396688396 19.94511807007789, 105.7501625313502 19.94512998322745)",3.99412321964,POINT (105.7501285500607 19.94511367812524),POINT (105.7501625313502 19.94512998322745)
12,"LINESTRING (105.7502836993728 19.94500927351694, 105.7502883808653 19.94501231637235, 105.7502944426545 19.9450173848584, 105.750297153031 19.94501913336254)","LINESTRING (105.7502836993728 19.94500927351694, 105.7502883808653 19.94501231637235, 105.7502944426545 19.9450173848584, 105.750297153031 19.94501913336254)",1.78463088823,POINT (105.7502836993728 19.94500927351694),POINT (105.750297153031 19.94501913336254)
14,"LINESTRING (105.7503082573715 19.93809841806302, 105.7503119576041 19.93810029597775)","LINESTRING (105.7503082573715 19.93809841806302, 105.7503119576041 19.93810029597775)",0.439487341508,POINT (105.7503082573715 19.93809841806302),POINT (105.7503119576041 19.93810029597775)
15,"LINESTRING (105.7503086008971 19.93809539991092, 105.7503119576041 19.93810029597775)","LINESTRING (105.7503086008971 19.93809539991092, 105.7503119576041 19.93810029597775)",0.645750191994,POINT (105.7503086008971 19.93809539991092),POINT (105.7503119576041 19.93810029597775)
16,"LINESTRING (105.7503096254643 19.93810037531708, 105.7503119665638 19.93810030383157)","LINESTRING (105.7503096254643 19.93810037531708, 105.7503119665638 19.93810030383157)",0.245133195721,POINT (105.7503096254643 19.93810037531708),POINT (105.7503119665638 19.93810030383157)
21,"LINESTRING (105.7504666583358 19.94125723694273, 105.7504732269356 19.94125536420118, 105.7504736678093 19.94125529576204, 105.7504901821174 19.94125059075214)","LINESTRING (105.7504666583358 19.94125723694273, 105.7504732269356 19.94125536420118, 105.7504736678093 19.94125529576204, 105.7504901821174 19.94125059075214)",2.56972481567,POINT (105.7504666583358 19.94125723694273),POINT (105.7504901821174 19.94125059075214)
23,"LINESTRING (105.7506050206463 19.94139082158534, 105.7505971211276 19.9413944530315, 105.7505860384274 19.94139796714824)","LINESTRING (105.7506050206463 19.94139082158534, 105.7505971211276 19.9413944530315, 105.7505860384274 19.94139796714824)",2.14249710823,POINT (105.7506050206463 19.94139082158534),POINT (105.7505860384274 19.94139796714824)
24,"LINESTRING (105.7510083082479 19.94684094401638, 105.7510139463678 19.94683372980557)","LINESTRING (105.7510083082479 19.94684094401638, 105.7510139463678 19.94683372980557)",0.992741175338,POINT (105.7510083082479 19.94684094401638),POINT (105.7510139463678 19.94683372980557)
25,"LINESTRING (105.751008707926 19.94683594851798, 105.7510139381387 19.94683369156302)","LINESTRING (105.751008707926 19.94683594851798, 105.7510139381387 19.94683369156302)",0.601630609487,POINT (105.751008707926 19.94683594851798),POINT (105.7510139381387 19.94683369156302)
26,"LINESTRING (105.7510130258976 19.94683954900826, 105.7510139753535 19.94683378801065)","LINESTRING (105.7510130258976 19.94683954900826, 105.7510139753535 19.94683378801065)",0.645252660833,POINT (105.7510130258976 19.94683954900826),POINT (105.7510139753535 19.94683378801065)
30,"LINESTRING (105.7510165311989 19.94683518841237, 105.7510140691788 19.94683389668797)","LINESTRING (105.7510165311989 19.94683518841237, 105.7510140691788 19.94683389668797)",0.294647114641,POINT (105.7510165311989 19.94683518841237),POINT (105.7510140691788 19.94683389668797)
