,Junction,points
419,POINT (105.6528036088474 19.97039754662264),3.0
420,POINT (105.7371266997723 19.93577201896546),3.0
421,POINT (105.6159752383145 19.98698874452593),3.0
422,POINT (105.6076942398265 20.01242204589668),3.0
423,POINT (105.5246241785949 20.0746299703249),3.0
424,POINT (105.5747051542206 20.03490390449014),3.0
425,POINT (105.547427883759 20.02543258727368),3.0
426,POINT (105.580881547925 20.0434843282227),3.0
427,POINT (105.5697419478047 20.03229674534258),3.0
428,POINT (105.5698944403881 20.00157968574648),3.0
429,POINT (105.7378712854391 19.95011944515927),3.0
430,POINT (105.5612210647871 20.05080113186287),3.0
431,POINT (105.5480768284437 20.00947827740369),3.0
432,POINT (105.7177882012693 19.99051261522876),3.0
433,POINT (105.6513268626605 19.98967990985545),3.0
434,POINT (105.6212737585245 19.98352473537197),3.0
435,POINT (105.6331028184805 20.00286601198581),3.0
436,POINT (105.6636139802419 19.99317370263078),3.0
437,POINT (105.6850552490623 19.98842922103003),3.0
438,POINT (105.5954405035243 19.97464016851277),3.0
439,POINT (105.5627106363181 20.03481886823964),3.0
440,POINT (105.5701048618416 20.0127325302654),3.0
441,POINT (105.5928735236926 19.98363794164613),3.0
442,POINT (105.6712259323411 19.9924594391858),3.0
443,POINT (105.7137398371453 19.93575048751457),3.0
444,POINT (105.5885514541718 20.01064787387252),3.0
445,POINT (105.6108947435343 20.01051056503739),3.0
446,POINT (105.5640718338777 20.01613032017848),3.0
447,POINT (105.7137397204375 19.93575038029758),3.0
448,POINT (105.6812802201501 19.99340759721836),3.0
449,POINT (105.6444070284634 19.95956427938702),3.0
450,POINT (105.7465784894412 19.94194936100884),3.0
451,POINT (105.6946713476046 19.95515364765913),3.0
452,POINT (105.556282360014 20.00225345665674),3.0
453,POINT (105.5208892289325 20.00375432682878),3.0
454,POINT (105.7135548579119 19.99247633490923),3.0
455,POINT (105.6023598348391 19.98130590963963),3.0
456,POINT (105.5873816194797 19.99204992169671),3.0
457,POINT (105.5865041304531 19.96195054545258),3.0
458,POINT (105.6648412814222 19.96173241792123),3.0
459,POINT (105.7102817942559 19.99211216112867),3.0
460,POINT (105.569544056193 20.00464302031736),3.0
461,POINT (105.6812802901823 19.99340756405857),3.0
462,POINT (105.5746649825149 19.99426497652967),3.0
463,POINT (105.5949196000581 20.0203052774843),3.0
464,POINT (105.5489512265716 20.0263301099266),3.0
465,POINT (105.7150792471736 19.99043116043901),3.0
466,POINT (105.6663102197443 19.98294644091827),3.0
467,POINT (105.6787924470338 19.9529059707193),3.0
468,POINT (105.6918838255912 19.96061184982519),3.0
469,POINT (105.5681556204395 20.02022987297932),3.0
470,POINT (105.6864436840841 20.00374595668837),3.0
471,POINT (105.5766340868283 19.97078487040191),3.0
472,POINT (105.6908518426543 19.99437359972303),3.0
473,POINT (105.5651265253166 20.0696889706663),3.0
474,POINT (105.5627927372737 20.02064945206644),3.0
475,POINT (105.6491311558755 19.96419282840385),3.0
476,POINT (105.573001651574 20.01016511020368),3.0
477,POINT (105.5543645721457 20.07482904540193),3.0
478,POINT (105.5587960584056 20.01871485169962),3.0
479,POINT (105.7511254915146 19.94985665268455),3.0
480,POINT (105.5894739119785 20.02413015873949),3.0
481,POINT (105.5682385697655 20.02511127333069),3.0
482,POINT (105.6488005361687 19.96459605685194),3.0
483,POINT (105.6866165608456 19.99745800072971),3.0
484,POINT (105.6011798872922 20.00897716276095),3.0
485,POINT (105.5339725313789 20.06028333696498),3.0
486,POINT (105.5370820423675 20.06072997513185),3.0
487,POINT (105.5717741521434 20.00972271710082),3.0
488,POINT (105.5797152065112 20.06068415868357),3.0
489,POINT (105.5769934832326 20.0092099455555),3.0
490,POINT (105.7371266904945 19.93577202216863),3.0
491,POINT (105.5865041878216 19.96195064679541),3.0
492,POINT (105.5610634617238 20.01538217711328),3.0
493,POINT (105.6445702589443 19.99720200495078),3.0
494,POINT (105.5865766362321 19.96199760163519),3.0
495,POINT (105.5418800828371 20.0341183113067),3.0
496,POINT (105.645062958768 19.95903013823536),3.0
497,POINT (105.5840187022547 20.0218381449878),3.0
498,POINT (105.5677625854078 19.96158969466276),3.0
499,POINT (105.5492966171083 20.0121282634034),3.0
500,POINT (105.5885516141075 20.01064804167669),3.0
501,POINT (105.6543188079561 20.00117011331119),3.0
502,POINT (105.6808138925517 19.99017683977512),3.0
503,POINT (105.5587959771228 20.01871482338929),3.0
504,POINT (105.7467623488192 19.94079123404092),3.0
505,POINT (105.5717742066601 20.0097227394763),3.0
506,POINT (105.6295672669363 20.00816242722288),3.0
507,POINT (105.6830369237005 19.98875255130693),3.0
508,POINT (105.7137406468751 19.94401773876581),3.0
509,POINT (105.5871529276307 19.96346977704478),3.0
510,POINT (105.7380567080002 19.95161396494415),3.0
511,POINT (105.629567131513 20.00816256187354),3.0
512,POINT (105.5282505569264 20.01274865866924),3.0
513,POINT (105.6908518401726 19.99437360784715),3.0
514,POINT (105.7117739826464 19.93888529973755),3.0
515,POINT (105.6908518420335 19.99437360356733),3.0
516,POINT (105.5870872084448 19.96377247580722),3.0
517,POINT (105.5885514421106 20.01064783823802),3.0
518,POINT (105.5730516696247 20.00818000096071),3.0
519,POINT (105.5805070452358 20.06379903422891),3.0
520,POINT (105.5685219114351 20.00523546698645),3.0
521,POINT (105.6553110903019 19.97721058000902),3.0
522,POINT (105.5915536315649 20.02036343222156),3.0
523,POINT (105.5436301618298 20.0617100916243),3.0
524,POINT (105.5841647891877 20.02143517111241),3.0
525,POINT (105.5750178766534 19.99554289863363),3.0
526,POINT (105.5589987979366 20.06820927204736),3.0
527,POINT (105.5728187568329 20.03418783533866),3.0
528,POINT (105.5904601218125 20.01375734310973),3.0
529,POINT (105.5135394840097 20.0001360818148),3.0
530,POINT (105.517627843327 20.02774491895816),3.0
531,POINT (105.6478980059688 19.9727257239694),3.0
532,POINT (105.6295671668759 20.00816252352016),3.0
533,POINT (105.5754834834416 20.01007162610872),3.0
534,POINT (105.5910881516681 20.02066895747202),3.0
535,POINT (105.5833416912431 19.9779399853416),3.0
536,POINT (105.5873816393751 19.99204995510833),3.0
537,POINT (105.5728186337438 20.03418785995954),3.0
