,points,Junction
POINT (105.6850552490623 19.98842922103003),3,POINT (105.6850552490623 19.98842922103003)
POINT (105.6717749800281 19.99586930873931),3,POINT (105.6717749800281 19.99586930873931)
POINT (105.7138052176926 19.94400669694401),3,POINT (105.7138052176926 19.94400669694401)
POINT (105.5484118069716 20.02902956027938),3,POINT (105.5484118069716 20.02902956027938)
POINT (105.5540640106717 20.06325871505795),3,POINT (105.5540640106717 20.06325871505795)
POINT (105.5282505569264 20.01274865866924),3,POINT (105.5282505569264 20.01274865866924)
POINT (105.7504459475134 19.93818868856873),3,POINT (105.7504459475134 19.93818868856873)
POINT (105.5995808494018 20.01923147071615),3,POINT (105.5995808494018 20.01923147071615)
POINT (105.6085906337261 20.01463258191109),3,POINT (105.6085906337261 20.01463258191109)
POINT (105.5729183502759 20.01178453991831),3,POINT (105.5729183502759 20.01178453991831)
POINT (105.7143191470898 19.98951079392516),3,POINT (105.7143191470898 19.98951079392516)
POINT (105.5627927372737 20.02064945206644),3,POINT (105.5627927372737 20.02064945206644)
POINT (105.5597590442673 20.07219036053315),3,POINT (105.5597590442673 20.07219036053315)
POINT (105.6004670319494 19.98182825283602),3,POINT (105.6004670319494 19.98182825283602)
POINT (105.6208955005335 20.00479070576194),3,POINT (105.6208955005335 20.00479070576194)
POINT (105.5985644679517 19.97490843889432),3,POINT (105.5985644679517 19.97490843889432)
POINT (105.6076942398265 20.01242204589668),3,POINT (105.6076942398265 20.01242204589668)
POINT (105.5973539536062 20.02188718536401),3,POINT (105.5973539536062 20.02188718536401)
POINT (105.6331342214845 20.00287072550921),3,POINT (105.6331342214845 20.00287072550921)
POINT (105.6770912402622 19.99510424324948),3,POINT (105.6770912402622 19.99510424324948)
POINT (105.6578175822426 19.98484934610337),3,POINT (105.6578175822426 19.98484934610337)
POINT (105.6636445445735 19.99314385619365),3,POINT (105.6636445445735 19.99314385619365)
POINT (105.6854056438134 19.99805391038117),3,POINT (105.6854056438134 19.99805391038117)
POINT (105.5962968572645 19.96834264946786),3,POINT (105.5962968572645 19.96834264946786)
POINT (105.5477900097224 20.01964837338536),3,POINT (105.5477900097224 20.01964837338536)
POINT (105.6809778123958 19.99018840114759),3,POINT (105.6809778123958 19.99018840114759)
POINT (105.5774974851172 20.01386900292044),3,POINT (105.5774974851172 20.01386900292044)
POINT (105.5640014578795 20.02593326338441),3,POINT (105.5640014578795 20.02593326338441)
POINT (105.5418800828371 20.0341183113067),3,POINT (105.5418800828371 20.0341183113067)
POINT (105.5875899026003 19.99256369692341),3,POINT (105.5875899026003 19.99256369692341)
POINT (105.5688300721376 20.00993461914734),3,POINT (105.5688300721376 20.00993461914734)
POINT (105.5282992692476 20.02846814825345),3,POINT (105.5282992692476 20.02846814825345)
POINT (105.5775247150623 20.01296504855328),3,POINT (105.5775247150623 20.01296504855328)
POINT (105.607706983949 20.01237640895748),3,POINT (105.607706983949 20.01237640895748)
POINT (105.6581197148775 19.96653746853371),3,POINT (105.6581197148775 19.96653746853371)
POINT (105.5686970837469 20.01012023208358),3,POINT (105.5686970837469 20.01012023208358)
POINT (105.7380567080002 19.95161396494415),3,POINT (105.7380567080002 19.95161396494415)
