,0,1,2
0,12.0362592462,35.4217201454,53.1639659846
1,12.0559932046,27.9538915397,67.4150426203
2,52.2727001616,68.4053927512,3.08634925413
3,31.538061622,47.6707542116,25.4923292112
4,20.4053684988,35.6603234858,46.8476301154
5,12.4307373789,28.5634299684,42.9283120369
6,14.9087397291,20.3037066423,51.4554430841
7,22.6965874605,38.82928005,40.3550008943
8,9.40617303041,25.53886562,45.9528763853
9,18.2470814849,33.5020364718,43.0648601528
10,23.6736984976,39.8063910872,38.2538417144
11,14.96165219,31.0943447796,45.4799886808
12,15.1268815606,8.67148146967,63.2331626667
13,3.32586829957,26.7113291988,58.6849177153
14,12.5333193393,10.85214156,60.6396004453
15,11.5945236515,22.2884277549,66.9535730672
16,7.66504108949,15.7204198097,58.7370091068
17,0.0,23.3854608992,55.3590494157
18,4.66857461819,27.6612439545,60.0276240339
19,83.2863833848,99.4190759744,27.9273339691
20,75.3818686018,91.5145611913,20.0228191861
21,60.2385532466,76.3712458362,4.87950383088
22,33.7049029254,12.0264561532,81.8111840314
23,30.9813361247,23.720198521,79.0876172308
24,23.3243711424,18.311794226,73.5002476895
25,29.6607194308,17.8121298863,77.7670005368
26,10000000045.6,10000000040.6,10000000095.8
27,31.464869539,9.78642276691,79.5711506451
28,36.3147681962,14.6363214241,84.4210493023
29,10000000045.6,10000000040.6,10000000095.8
30,35.4910642343,13.8126174621,83.5973453403
31,16.6703765405,6.71508435874,64.7766576465
32,23.3854608992,0.0,71.4917420053
