,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,17450.2927478,5261.37262129,14397.6694629,15482.980493,14924.1397629,15140.6767694,14435.0760297,23626.8772261,21840.0435544,16283.6711441,33226.8707962,7844.14887129,24404.4378917,10240.1030605,16345.3538068,16783.5343332,18180.0789577,19231.3869086,1630.71513814,2820.02579298,4484.1323855,8199.50502089,5258.33879918,9417.1916854,5583.23865983,4998.54160164,6493.12713326,6872.31352349,6174.4730814,3233.83451079,11802.263464,10633.5847658
1,19694.7079195,0.0,1951.0785941,5339.09812437,5741.56479443,5534.32948446,8900.93839134,5352.96962848,13533.9254352,8098.95906269,6038.48548459,12321.5444003,9003.56063233,17273.3801371,9268.49710998,20762.8786963,12701.1692285,13758.0234797,16590.5977753,604.71926779,1045.75219349,1662.85403833,7677.2285773,6035.55248384,10809.1085109,6408.4744723,5737.35571851,7452.84986261,6434.57399444,7087.09685056,3711.81444546,13546.7080547,11320.203151
2,10379.0807693,3410.26217402,0.0,35203.8218546,8625.03967667,5979.09971415,7113.31025492,12416.7600892,10502.8678386,13210.7365012,16780.3130246,11309.6566485,2508.20058791,4769.29141667,3702.38737969,3194.32703016,5618.43695022,4405.1932335,4576.91000737,15469.9793821,26752.5209362,42539.2724501,2964.59359145,1257.39013239,1840.37557733,1424.54211368,976.851081855,1783.63919788,2484.73738089,1206.66010011,888.322972048,3910.76624064,3844.65369198
3,21484.8563079,7059.29498091,26629.9430714,0.0,17853.964356,12376.8280703,14724.6612776,25702.8837386,21741.0974391,27346.4270833,34735.5052098,23411.162644,5192.01366869,9872.50634766,7663.99863503,6612.30592274,11630.2506198,9118.81752672,9474.27388112,8253.711421,14273.2955319,22696.0146612,6136.75418271,2602.81685034,3809.60565877,2948.82401411,2022.09671496,3692.16048351,5143.44447046,2497.80490581,1838.84217049,8095.34607174,7958.49208248
4,16413.2301266,5392.90705008,4634.90420561,12683.3477778,0.0,9455.20530568,11466.5259056,12962.4088597,16930.4306769,19611.9212315,14344.7843939,17884.8205685,4043.17342939,7542.04339502,5968.18067542,5051.43237738,9056.81750547,7101.09084532,7377.89514112,1436.54688538,2484.24704894,3950.20948867,4778.87059579,2026.88987402,2923.31608484,2296.33580776,1551.66397297,2875.1937334,4005.35116922,1916.70054909,1431.96036817,6304.08358443,6197.51136634
5,13088.2575526,4300.41837496,2658.08270802,7273.80457338,7822.1113917,0.0,7642.00292988,7292.70263588,11925.2704312,11033.7446695,8226.62597895,14261.7349587,2694.62114748,6014.1852436,3977.56518261,4028.11923399,6036.02403047,5001.78821808,5196.76058157,823.848836114,1424.69700134,2265.41543668,3184.93529733,1350.84492752,2320.75557412,1530.42038324,1231.83149202,1916.20715076,2669.41405116,1521.62590501,954.347063714,4201.43168202,4130.40535638
6,13720.6018538,7146.88578756,3267.68206411,8941.96432286,9802.12504721,7896.64380961,0.0,9138.70687712,22077.4472122,13826.7201237,10113.3038782,14950.7744883,8123.81163804,9348.26842476,11991.6635969,6694.35054776,18197.5571267,9503.39914252,10106.7203659,1012.78867553,1751.43415366,2784.96126846,9602.02307439,4072.56127772,5873.72014742,4613.94988015,3117.70594611,5777.0295341,8047.81664977,3851.16159355,2877.18954116,12666.5819522,12452.4499985
7,17000.036359,5585.71440388,7412.74795096,20284.8766836,14400.4809945,9793.24805287,11876.4774394,0.0,17535.7278769,22056.8214224,24295.0747733,18524.2391408,4187.7250715,7811.68672758,6181.5552269,5232.03131975,9380.61708161,7354.9692308,7641.66984102,2297.51457823,3973.13437448,6317.69417318,4949.72490222,2099.35529377,3027.83055791,2378.43446557,1607.13910389,2977.9877349,4148.5505889,1985.22647721,1483.15585267,6529.4673455,6419.08495467
8,20889.9294127,10602.4833729,4707.37414298,12881.6607047,14120.795441,12022.8203935,21540.2941127,13165.0850999,0.0,19918.5672031,14569.0750331,22762.8953199,7595.25121512,13868.2586353,11211.4487095,9931.14238629,17013.5675268,14098.3967548,14647.9597545,1459.00829088,2523.08997213,4011.97374993,8977.28562315,3807.58778901,5721.71594522,4313.75196707,3037.02379015,5401.15804547,7524.20069688,3751.49856384,2689.99065122,11842.4547799,11642.2549163
9,21506.571017,7066.42979878,6594.54553776,18045.87771,18217.9002825,12389.3373101,15024.8093645,18442.9260482,22184.2688425,0.0,20409.7711018,23434.8242677,5297.84788384,9882.48447364,7820.22189102,6618.9889695,11867.3221156,9304.69586944,9667.39786043,2043.92009684,3534.58875622,5620.36132813,6261.84602645,2655.87277356,3830.47727345,3008.93296125,2033.1751381,3767.4216311,5248.28864913,2511.48958245,1876.32520314,8260.3619312,8120.71830473
