,0,1,2
0,20275.3333567,2439.20924979,847.457393531
1,13527.6632241,3220.56687619,135.769899729
2,248.917480702,66.6734784621,15947.4090408
3,4177.4805983,1118.95380715,17779.5655945
4,9406.54009523,2519.57695648,1999.88294829
5,6865.89434057,1646.43677512,967.668884301
6,9863.70581189,5955.31823777,581.975950342
7,9018.04738457,2415.51773049,4571.43488494
8,15388.6413088,3690.18567914,856.173012032
9,11954.3449115,3202.01600842,2996.63908013
10,9626.31265615,2578.44385914,7277.24348471
11,14569.5997983,3149.05802478,1847.34217696
12,3864.00304217,7670.51434052,81.482617319
13,13216.3790723,1589.98688282,151.634044886
14,5307.61381478,8644.46125643,111.924928792
15,10999.6183646,3892.98436595,110.397269482
16,11270.122302,5833.14287707,203.734820896
17,0.0,12066.9888436,950.011156401
18,15032.7967536,1894.82270672,142.380539708
19,158.128697482,42.3553632154,16695.5159393
20,200.047402265,53.5834451189,21121.3691526
21,183.425919859,49.1313188718,19366.4427613
22,4549.7383066,29254.3185533,95.9431401303
23,4666.28132546,7491.60148542,70.1171891131
24,6671.95518582,6947.08197872,66.9628354556
25,3824.064558,8500.51491643,65.4205255724
26,8777.96471401,9139.93556254,88.0997234557
27,2433.78490806,14851.9537926,48.2612992991
28,3652.27222825,23483.7100528,77.0177189489
29,10843.0240569,11290.1503267,108.825616411
30,1473.41287788,8991.36974154,29.2173805726
31,4369.61398489,14930.2412677,92.1447473715
32,21497.6654584,0.0,453.334541584
