,Fluvial Flood - 50 year return period _mean,rawmean,normed
0,0.006315122951160778,17.8454873221,0.00063151229511607782
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,30.2727272727,0.0
4,0.0,0.0,0.0
5,0.0,128.076923077,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.01529685499632887,4.91228051279,0.001529685499632887
9,0.045213222503662109,9.6505479079,0.0045213222503662108
10,0.11120119690895081,0.111201196909,0.01112011969089508
11,0.0,0.0,0.0
12,0.0,52.5789473684,0.0
13,0.070371752435510804,43.5020937712,0.00703717524355108
14,0.060000934771129062,0.0600009347711,0.0060000934771129062
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0098857026675651816,0.00988570266757,0.00098857026675651816
23,0.0,0.0,0.0
24,0.0,71.3571428571,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.024107673588921043,149.870495605,0.0024107673588921043
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.3108727591378348,0.310872786386,0.03108727591378348
40,0.0,0.0,0.0
41,0.14327509062630789,0.143275090626,0.014327509062630788
42,0.00095333280041813855,0.000953332800418,9.5333280041813852e-05
43,0.29254565273758271,14.6624378232,0.029254565273758269
44,0.0,0.0,0.0
45,0.0,38.4230769231,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.036453259402307973,0.0364532594023,0.0036453259402307973
49,0.0,0.0,0.0
50,0.0,111.0,0.0
51,0.0,0.0,0.0
52,0.19386588505336216,0.193865885053,0.019386588505336217
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.064001981417338052,0.0640019814173,0.0064001981417338054
64,0.010494787693023682,0.010494787693,0.0010494787693023683
65,0.052800793200731277,499.526397705,0.0052800793200731277
66,0.067807298898696897,47.6360066732,0.0067807298898696893
67,0.0,210.315789474,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,333.0,0.0
71,0.0,0.0,0.0
72,0.077909866968790695,0.0779098669688,0.0077909866968790698
73,0.39866158836766291,0.398661588368,0.039866158836766294
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.059080034494400024,0.0590800344944,0.0059080034494400028
77,0.010831523686647415,0.0108315236866,0.0010831523686647415
78,0.0,0.0,0.0
79,0.0,199.8,0.0
80,0.0,199.8,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,499.5,0.0
85,0.0,249.75,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.27790755884987967,0.27790755885,0.027790755884987965
89,0.0,0.0,0.0
90,0.0,599.4,0.0
91,0.0,333.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
