,Extreme Heat - 100 year return period _mean,rawmean,normed
0,34.3805007935,34.3805007935,0.967430194344
1,34.40599823,34.40599823,0.969332704097
2,34.40599823,34.40599823,0.969332704097
3,34.40599823,34.40599823,0.969332704097
4,34.40599823,34.40599823,0.969332704097
5,34.40599823,34.40599823,0.969332704097
6,34.3084983826,34.3084983826,0.962057682137
7,34.40599823,34.40599823,0.969332704097
8,33.9839996338,33.9839996338,0.937844972211
9,33.5400009155,33.5400009155,0.904715685231
10,34.40599823,34.40599823,0.969332704097
11,34.40599823,34.40599823,0.969332704097
12,34.40599823,34.40599823,0.969332704097
13,34.40599823,34.40599823,0.969332704097
14,34.40599823,34.40599823,0.969332704097
15,34.40599823,34.40599823,0.969332704097
16,34.40599823,34.40599823,0.969332704097
17,34.40599823,34.40599823,0.969332704097
18,34.40599823,34.40599823,0.969332704097
19,34.40599823,34.40599823,0.969332704097
20,34.40599823,34.40599823,0.969332704097
21,34.40599823,34.40599823,0.969332704097
22,34.40599823,34.40599823,0.969332704097
23,34.40599823,34.40599823,0.969332704097
24,34.40599823,34.40599823,0.969332704097
25,34.40599823,34.40599823,0.969332704097
26,34.40599823,34.40599823,0.969332704097
27,34.40599823,34.40599823,0.969332704097
28,34.40599823,34.40599823,0.969332704097
29,34.40599823,34.40599823,0.969332704097
30,34.40599823,34.40599823,0.969332704097
31,34.40599823,34.40599823,0.969332704097
32,34.40599823,34.40599823,0.969332704097
33,34.40599823,34.40599823,0.969332704097
34,34.40599823,34.40599823,0.969332704097
35,34.40599823,34.40599823,0.969332704097
36,34.40599823,34.40599823,0.969332704097
37,34.40599823,34.40599823,0.969332704097
38,34.40599823,34.40599823,0.969332704097
39,34.3084983826,34.3084983826,0.962057682137
40,34.40599823,34.40599823,0.969332704097
41,34.3470001221,34.3470001221,0.964930517406
42,34.40599823,34.40599823,0.969332704097
43,33.508333842,33.508333842,0.902352823527
44,34.40599823,34.40599823,0.969332704097
45,34.3974990845,34.3974990845,0.968698534179
46,34.40599823,34.40599823,0.969332704097
47,34.40599823,34.40599823,0.969332704097
48,34.3470001221,34.3470001221,0.964930517406
49,34.40599823,34.40599823,0.969332704097
50,34.388999939,34.388999939,0.968064364262
51,34.40599823,34.40599823,0.969332704097
52,34.3470001221,34.3470001221,0.964930517406
53,34.40599823,34.40599823,0.969332704097
54,34.388999939,34.388999939,0.968064364262
55,34.388999939,34.388999939,0.968064364262
56,34.388999939,34.388999939,0.968064364262
57,34.3314971924,34.3314971924,0.963773755043
58,34.388999939,34.388999939,0.968064364262
59,34.40599823,34.40599823,0.969332704097
60,34.361000061,34.361000061,0.965975133025
61,34.3314971924,34.3314971924,0.963773755043
62,34.388999939,34.388999939,0.968064364262
63,34.3470001221,34.3470001221,0.964930517406
64,34.388999939,34.388999939,0.968064364262
65,34.40599823,34.40599823,0.969332704097
66,34.3470001221,34.3470001221,0.964930517406
67,34.3470001221,34.3470001221,0.964930517406
68,34.40599823,34.40599823,0.969332704097
69,34.40599823,34.40599823,0.969332704097
70,34.40599823,34.40599823,0.969332704097
71,34.40599823,34.40599823,0.969332704097
72,34.40599823,34.40599823,0.969332704097
73,34.3470001221,34.3470001221,0.964930517406
74,34.3470001221,34.3470001221,0.964930517406
75,34.388999939,34.388999939,0.968064364262
76,34.40599823,34.40599823,0.969332704097
77,34.3470001221,34.3470001221,0.964930517406
78,34.3314971924,34.3314971924,0.963773755043
79,34.3470001221,34.3470001221,0.964930517406
80,34.3470001221,34.3470001221,0.964930517406
81,34.2879981995,34.2879981995,0.960528046079
82,34.2739982605,34.2739982605,0.959483430461
83,34.2739982605,34.2739982605,0.959483430461
84,34.2879981995,34.2879981995,0.960528046079
85,34.2879981995,34.2879981995,0.960528046079
86,34.2879981995,34.2879981995,0.960528046079
87,34.2879981995,34.2879981995,0.960528046079
88,34.2879981995,34.2879981995,0.960528046079
89,34.28099823,34.28099823,0.96000573827
90,34.2879981995,34.2879981995,0.960528046079
91,34.2879981995,34.2879981995,0.960528046079
92,34.2879981995,34.2879981995,0.960528046079
93,34.2879981995,34.2879981995,0.960528046079
94,34.2879981995,34.2879981995,0.960528046079
95,34.2879981995,34.2879981995,0.960528046079
96,34.2879981995,34.2879981995,0.960528046079
97,34.2879981995,34.2879981995,0.960528046079
98,34.2879981995,34.2879981995,0.960528046079
99,34.2739982605,34.2739982605,0.959483430461
100,34.2739982605,34.2739982605,0.959483430461
101,34.2879981995,34.2879981995,0.960528046079
102,34.2879981995,34.2879981995,0.960528046079
103,34.2879981995,34.2879981995,0.960528046079
104,34.2879981995,34.2879981995,0.960528046079
105,34.2879981995,34.2879981995,0.960528046079
106,34.2879981995,34.2879981995,0.960528046079
107,34.2879981995,34.2879981995,0.960528046079
108,34.2879981995,34.2879981995,0.960528046079
109,34.2879981995,34.2879981995,0.960528046079
110,34.2879981995,34.2879981995,0.960528046079
111,34.2879981995,34.2879981995,0.960528046079
112,34.2879981995,34.2879981995,0.960528046079
113,34.2739982605,34.2739982605,0.959483430461
114,34.2879981995,34.2879981995,0.960528046079
115,34.2879981995,34.2879981995,0.960528046079
116,34.2739982605,34.2739982605,0.959483430461
117,34.2879981995,34.2879981995,0.960528046079
118,34.2879981995,34.2879981995,0.960528046079
119,34.2879981995,34.2879981995,0.960528046079
120,34.2739982605,34.2739982605,0.959483430461
121,34.2739982605,34.2739982605,0.959483430461
122,34.2879981995,34.2879981995,0.960528046079
123,34.2739982605,34.2739982605,0.959483430461
124,34.2739982605,34.2739982605,0.959483430461
