,Earthquake - 475 year return period _mean,rawmean,normed
0,0.04357816,0.04357816,0.118400811876
1,0.04776596,0.04776596,0.129778963683
2,0.04426545,0.04426545,0.120268162264
3,0.046015705,0.046015705,0.125023562974
4,0.04426545,0.04426545,0.120268162264
5,0.04426545,0.04426545,0.120268162264
6,0.04776596,0.04776596,0.129778963683
7,0.04776596,0.04776596,0.129778963683
8,0.0547618657143,0.0547618657143,0.148786671131
9,0.05763949,0.05763949,0.156605107056
10,0.04426545,0.04426545,0.120268162264
11,0.04776596,0.04776596,0.129778963683
12,0.04426545,0.04426545,0.120268162264
13,0.04426545,0.04426545,0.120268162264
14,0.04426545,0.04426545,0.120268162264
15,0.04426545,0.04426545,0.120268162264
16,0.04426545,0.04426545,0.120268162264
17,0.04426545,0.04426545,0.120268162264
18,0.04776596,0.04776596,0.129778963683
19,0.046015705,0.046015705,0.125023562974
20,0.04426545,0.04426545,0.120268162264
21,0.04426545,0.04426545,0.120268162264
22,0.04426545,0.04426545,0.120268162264
23,0.04426545,0.04426545,0.120268162264
24,0.04426545,0.04426545,0.120268162264
25,0.04426545,0.04426545,0.120268162264
26,0.04426545,0.04426545,0.120268162264
27,0.04426545,0.04426545,0.120268162264
28,0.04426545,0.04426545,0.120268162264
29,0.04426545,0.04426545,0.120268162264
30,0.04426545,0.04426545,0.120268162264
31,0.04426545,0.04426545,0.120268162264
32,0.04426545,0.04426545,0.120268162264
33,0.04426545,0.04426545,0.120268162264
34,0.04426545,0.04426545,0.120268162264
35,0.04426545,0.04426545,0.120268162264
36,0.04426545,0.04426545,0.120268162264
37,0.04426545,0.04426545,0.120268162264
38,0.04426545,0.04426545,0.120268162264
39,0.04776596,0.04776596,0.129778963683
40,0.04776596,0.04776596,0.129778963683
41,0.0461533533333,0.0461533533333,0.125397550183
42,0.04776596,0.04776596,0.129778963683
43,0.05498461,0.05498461,0.149391861994
44,0.04426545,0.04426545,0.120268162264
45,0.04426545,0.04426545,0.120268162264
46,0.04426545,0.04426545,0.120268162264
47,0.04776596,0.04776596,0.129778963683
48,0.0461533533333,0.0461533533333,0.125397550183
49,0.04776596,0.04776596,0.129778963683
50,0.04426545,0.04426545,0.120268162264
51,0.04426545,0.04426545,0.120268162264
52,0.04904194,0.04904194,0.133245770633
53,0.04426545,0.04426545,0.120268162264
54,0.04426545,0.04426545,0.120268162264
55,0.04426545,0.04426545,0.120268162264
56,0.04426545,0.04426545,0.120268162264
57,0.04534705,0.04534705,0.123206843432
58,0.04426545,0.04426545,0.120268162264
59,0.04426545,0.04426545,0.120268162264
60,0.04426545,0.04426545,0.120268162264
61,0.04426545,0.04426545,0.120268162264
62,0.04426545,0.04426545,0.120268162264
63,0.04904194,0.04904194,0.133245770633
64,0.04426545,0.04426545,0.120268162264
65,0.04426545,0.04426545,0.120268162264
66,0.04534705,0.04534705,0.123206843432
67,0.04426545,0.04426545,0.120268162264
68,0.04426545,0.04426545,0.120268162264
69,0.04426545,0.04426545,0.120268162264
70,0.04426545,0.04426545,0.120268162264
71,0.04426545,0.04426545,0.120268162264
72,0.04426545,0.04426545,0.120268162264
73,0.04534705,0.04534705,0.123206843432
74,0.04426545,0.04426545,0.120268162264
75,0.04426545,0.04426545,0.120268162264
76,0.04426545,0.04426545,0.120268162264
77,0.04426545,0.04426545,0.120268162264
78,0.04534705,0.04534705,0.123206843432
79,0.04426545,0.04426545,0.120268162264
80,0.04426545,0.04426545,0.120268162264
81,0.04534705,0.04534705,0.123206843432
82,0.04534705,0.04534705,0.123206843432
83,0.04534705,0.04534705,0.123206843432
84,0.04534705,0.04534705,0.123206843432
85,0.04426545,0.04426545,0.120268162264
86,0.04534705,0.04534705,0.123206843432
87,0.04534705,0.04534705,0.123206843432
88,0.04642865,0.04642865,0.1261455246
89,0.04642865,0.04642865,0.1261455246
90,0.04642865,0.04642865,0.1261455246
91,0.04642865,0.04642865,0.1261455246
92,0.04642865,0.04642865,0.1261455246
93,0.04642865,0.04642865,0.1261455246
94,0.04642865,0.04642865,0.1261455246
95,0.04642865,0.04642865,0.1261455246
96,0.04642865,0.04642865,0.1261455246
97,0.04642865,0.04642865,0.1261455246
98,0.04642865,0.04642865,0.1261455246
99,0.04642865,0.04642865,0.1261455246
100,0.04642865,0.04642865,0.1261455246
101,0.04642865,0.04642865,0.1261455246
102,0.04642865,0.04642865,0.1261455246
103,0.048373285,0.048373285,0.131429051091
104,0.04642865,0.04642865,0.1261455246
105,0.04642865,0.04642865,0.1261455246
106,0.04642865,0.04642865,0.1261455246
107,0.04642865,0.04642865,0.1261455246
108,0.04642865,0.04642865,0.1261455246
109,0.04642865,0.04642865,0.1261455246
110,0.04642865,0.04642865,0.1261455246
111,0.04642865,0.04642865,0.1261455246
112,0.04642865,0.04642865,0.1261455246
113,0.04642865,0.04642865,0.1261455246
114,0.04642865,0.04642865,0.1261455246
115,0.04642865,0.04642865,0.1261455246
116,0.04642865,0.04642865,0.1261455246
117,0.04642865,0.04642865,0.1261455246
118,0.04642865,0.04642865,0.1261455246
119,0.04642865,0.04642865,0.1261455246
120,0.04642865,0.04642865,0.1261455246
121,0.04642865,0.04642865,0.1261455246
122,0.04642865,0.04642865,0.1261455246
123,0.04642865,0.04642865,0.1261455246
124,0.04642865,0.04642865,0.1261455246
125,0.04642865,0.04642865,0.1261455246
126,0.04642865,0.04642865,0.1261455246
127,0.04642865,0.04642865,0.1261455246
128,0.04642865,0.04642865,0.1261455246
129,0.04642865,0.04642865,0.1261455246
130,0.04642865,0.04642865,0.1261455246
131,0.04642865,0.04642865,0.1261455246
132,0.04642865,0.04642865,0.1261455246
133,0.04642865,0.04642865,0.1261455246
134,0.04642865,0.04642865,0.1261455246
135,0.04642865,0.04642865,0.1261455246
136,0.04642865,0.04642865,0.1261455246
137,0.04642865,0.04642865,0.1261455246
138,0.04642865,0.04642865,0.1261455246
139,0.04642865,0.04642865,0.1261455246
140,0.04642865,0.04642865,0.1261455246
141,0.04642865,0.04642865,0.1261455246
142,0.04642865,0.04642865,0.1261455246
143,0.04642865,0.04642865,0.1261455246
144,0.04642865,0.04642865,0.1261455246
145,0.04642865,0.04642865,0.1261455246
146,0.04642865,0.04642865,0.1261455246
147,0.04642865,0.04642865,0.1261455246
148,0.04642865,0.04642865,0.1261455246
149,0.04642865,0.04642865,0.1261455246
150,0.04642865,0.04642865,0.1261455246
151,0.04642865,0.04642865,0.1261455246
152,0.04642865,0.04642865,0.1261455246
153,0.04642865,0.04642865,0.1261455246
154,0.04642865,0.04642865,0.1261455246
155,0.04642865,0.04642865,0.1261455246
156,0.04642865,0.04642865,0.1261455246
157,0.04642865,0.04642865,0.1261455246
158,0.04642865,0.04642865,0.1261455246
159,0.04642865,0.04642865,0.1261455246
160,0.04642865,0.04642865,0.1261455246
161,0.04642865,0.04642865,0.1261455246
162,0.04642865,0.04642865,0.1261455246
163,0.04642865,0.04642865,0.1261455246
164,0.04642865,0.04642865,0.1261455246
165,0.04642865,0.04642865,0.1261455246
166,0.04642865,0.04642865,0.1261455246
167,0.04642865,0.04642865,0.1261455246
168,0.04642865,0.04642865,0.1261455246
169,0.04642865,0.04642865,0.1261455246
170,0.04642865,0.04642865,0.1261455246
171,0.04642865,0.04642865,0.1261455246
172,0.04642865,0.04642865,0.1261455246
173,0.04642865,0.04642865,0.1261455246
174,0.04642865,0.04642865,0.1261455246
