,Pluvial Flood - 20 year return period _mean,rawmean,normed
0,0.0022130562500520187,17.8414590018,0.00022130562500520187
1,0.0047500003129243851,0.00475000031292,0.00047500003129243853
2,0.0,0.0,0.0
3,0.15605269372463226,30.4240519206,0.015605269372463227
4,0.12721982209578805,0.127219822096,0.012721982209578805
5,0.032397280721103441,128.105168269,0.0032397280721103441
6,0.049327469789064847,0.0493274697891,0.0049327469789064845
7,0.0,0.0,0.0
8,0.0099384338397697867,4.90694861319,0.00099384338397697858
9,0.036095200233089111,9.64151763916,0.003609520023308911
10,0.29251384735107422,0.292513847351,0.029251384735107421
11,0.028314569900775778,0.0283145678454,0.0028314569900775776
12,0.0,52.5789473684,0.0
13,0.16510783542286267,43.5927124023,0.016510783542286266
14,0.063648956162588935,0.0636489561626,0.0063648956162588935
15,0.03358785102241918,0.0335878510224,0.003358785102241918
16,0.0,0.0,0.0
17,0.019000000187328885,0.0190000001873,0.0019000000187328885
18,0.25580889838082449,0.255808898381,0.02558088983808245
19,0.19736895561218262,0.197368955612,0.019736895561218264
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,71.3571428571,0.0
25,0.010533333818117777,0.0105333338181,0.0010533333818117778
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,149.85,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0040333333114782972,0.00403333331148,0.00040333333114782972
39,0.027559632914406912,0.0275596346174,0.0027559632914406912
40,0.0,0.0,0.0
41,0.014642857015132904,0.0146428570151,0.0014642857015132904
42,0.0,0.0,0.0
43,0.015339520725890668,14.3892198741,0.0015339520725890668
44,0.2457524061203003,0.24575240612,0.024575240612030029
45,0.0,38.4230769231,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,111.0,0.0
51,0.24020667076110841,0.240206670761,0.024020667076110842
52,0.0,0.0,0.0
53,0.12957643611090525,0.129576436111,0.012957643611090525
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.019034047211919512,0.0190340472119,0.0019034047211919512
60,0.0,0.0,0.0
61,0.041214287281036377,0.041214287281,0.004121428728103638
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,499.5,0.0
66,0.012544050812721252,47.5833740234,0.0012544050812721252
67,0.0,210.315789474,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,333.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.04257419548536602,0.0425741954854,0.0042574195485366017
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,199.8,0.0
80,0.0,199.8,0.0
81,0.0,0.0,0.0
82,0.037428570645196099,0.0374285706452,0.0037428570645196097
83,0.0,0.0,0.0
84,0.0,499.5,0.0
85,0.0,249.75,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.11235293921302347,0.112352939213,0.011235293921302347
90,0.0,599.4,0.0
91,0.0,333.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,111.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,599.4,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,333.0,0.0
106,--,999.0,--
107,0.0073750000447034836,157.743048417,0.00073750000447034834
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.018173912297124447,0.0181739122971,0.0018173912297124446
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,181.636363636,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
