,Pluvial Flood - 5 year return period _mean,rawmean,normed
200,0.0,90.8181818182,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.10172916375673734,0.101729163757,0.010172916375673734
204,0.0,0.0,0.0
205,0.0,41.625,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.03027067307768197,0.0302706710223,0.0030270673077681968
216,0.0,33.3,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.025804206728935242,24.3910284275,0.0025804206728935243
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.015795068251780973,20.0958785627,0.0015795068251780973
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0051250001415610313,0.00512500014156,0.00051250001415610309
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,88.1470588235,0.0
239,0.0,0.0,0.0
240,0.0021242660127188031,0.00212426601272,0.00021242660127188031
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,58.7647058824,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,58.7647058824,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0098266174395879105,0.00982661743959,0.00098266174395879096
268,0.027203088297563439,0.0272030882976,0.0027203088297563438
269,0.0,0.0,0.0
270,0.0,23.2325581395,0.0
271,0.0,71.3571428571,0.0
272,0.0,0.0,0.0
273,0.0,225.580645161,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0041823861144837876,0.00418238611448,0.00041823861144837878
