,Typhoon - 200 year return period _mean,rawmean,normed
0,37.0964050293,37.0964050293,0.488235607316
1,37.2012557983,37.2012557983,0.490139911559
2,37.2012557983,37.2012557983,0.490139911559
3,37.2012557983,37.2012557983,0.490139911559
4,37.2012557983,37.2012557983,0.490139911559
5,37.0730667114,37.0730667114,0.487811735769
6,37.2012557983,37.2012557983,0.490139911559
7,37.2012557983,37.2012557983,0.490139911559
8,39.0564208984,39.0564208984,0.523833501067
9,39.681476593,39.681476593,0.535185789869
10,37.2012557983,37.2012557983,0.490139911559
11,37.2012557983,37.2012557983,0.490139911559
12,37.2012557983,37.2012557983,0.490139911559
13,37.2012557983,37.2012557983,0.490139911559
14,37.2012557983,37.2012557983,0.490139911559
15,37.2012557983,37.2012557983,0.490139911559
16,37.2012557983,37.2012557983,0.490139911559
17,37.2012557983,37.2012557983,0.490139911559
18,37.2012557983,37.2012557983,0.490139911559
19,37.2012557983,37.2012557983,0.490139911559
20,37.2012557983,37.2012557983,0.490139911559
21,37.2012557983,37.2012557983,0.490139911559
22,37.2012557983,37.2012557983,0.490139911559
23,37.2012557983,37.2012557983,0.490139911559
24,37.2012557983,37.2012557983,0.490139911559
25,37.2012557983,37.2012557983,0.490139911559
26,37.2012557983,37.2012557983,0.490139911559
27,37.2012557983,37.2012557983,0.490139911559
28,37.0730667114,37.0730667114,0.487811735769
29,37.2012557983,37.2012557983,0.490139911559
30,37.2012557983,37.2012557983,0.490139911559
31,37.0730667114,37.0730667114,0.487811735769
32,37.2012557983,37.2012557983,0.490139911559
33,37.2012557983,37.2012557983,0.490139911559
34,37.2012557983,37.2012557983,0.490139911559
35,37.2012557983,37.2012557983,0.490139911559
36,37.2012557983,37.2012557983,0.490139911559
37,37.2012557983,37.2012557983,0.490139911559
38,37.2107315063,37.2107315063,0.490312009782
39,37.5027542114,37.5027542114,0.495615738895
40,37.2012557983,37.2012557983,0.490139911559
41,37.2107315063,37.2107315063,0.490312009782
42,37.2012557983,37.2012557983,0.490139911559
43,39.4716644287,39.4716644287,0.531375172185
44,37.1221135457,37.1221135457,0.488702526514
45,37.0244827271,37.0244827271,0.486929351324
46,37.2107315063,37.2107315063,0.490312009782
47,37.2107315063,37.2107315063,0.490312009782
48,37.2107315063,37.2107315063,0.490312009782
49,37.2107315063,37.2107315063,0.490312009782
50,37.0244827271,37.0244827271,0.486929351324
51,37.2202110291,37.2202110291,0.490484177287
52,37.2202110291,37.2202110291,0.490484177287
53,37.2202110291,37.2202110291,0.490484177287
54,37.1040840149,37.1040840149,0.488375073388
55,37.1040840149,37.1040840149,0.488375073388
56,37.1040840149,37.1040840149,0.488375073388
57,37.1040840149,37.1040840149,0.488375073388
58,37.1040840149,37.1040840149,0.488375073388
59,37.2202110291,37.2202110291,0.490484177287
60,37.162147522,37.162147522,0.489429625337
61,37.1040840149,37.1040840149,0.488375073388
62,37.1040840149,37.1040840149,0.488375073388
63,37.2202110291,37.2202110291,0.490484177287
64,37.1040840149,37.1040840149,0.488375073388
65,37.2202110291,37.2202110291,0.490484177287
66,37.2202110291,37.2202110291,0.490484177287
67,37.2202110291,37.2202110291,0.490484177287
68,37.2202110291,37.2202110291,0.490484177287
69,37.2202110291,37.2202110291,0.490484177287
70,37.2202110291,37.2202110291,0.490484177287
71,37.2202110291,37.2202110291,0.490484177287
72,37.2202110291,37.2202110291,0.490484177287
73,37.2202110291,37.2202110291,0.490484177287
74,37.2202110291,37.2202110291,0.490484177287
75,37.1040840149,37.1040840149,0.488375073388
76,37.2202110291,37.2202110291,0.490484177287
77,37.2202110291,37.2202110291,0.490484177287
78,37.1040840149,37.1040840149,0.488375073388
79,37.2202110291,37.2202110291,0.490484177287
80,37.2202110291,37.2202110291,0.490484177287
81,37.2202110291,37.2202110291,0.490484177287
82,37.1040840149,37.1040840149,0.488375073388
83,37.1040840149,37.1040840149,0.488375073388
84,37.2202110291,37.2202110291,0.490484177287
85,37.2202110291,37.2202110291,0.490484177287
86,37.2202110291,37.2202110291,0.490484177287
87,37.2202110291,37.2202110291,0.490484177287
88,37.2202110291,37.2202110291,0.490484177287
89,37.162147522,37.162147522,0.489429625337
90,37.2202110291,37.2202110291,0.490484177287
91,37.2202110291,37.2202110291,0.490484177287
92,37.2202110291,37.2202110291,0.490484177287
93,37.2202110291,37.2202110291,0.490484177287
94,37.2202110291,37.2202110291,0.490484177287
95,37.2202110291,37.2202110291,0.490484177287
96,37.2202110291,37.2202110291,0.490484177287
97,37.2202110291,37.2202110291,0.490484177287
98,37.2202110291,37.2202110291,0.490484177287
99,37.1040840149,37.1040840149,0.488375073388
100,37.1040840149,37.1040840149,0.488375073388
101,37.2202110291,37.2202110291,0.490484177287
102,37.2202110291,37.2202110291,0.490484177287
103,37.2202110291,37.2202110291,0.490484177287
104,37.2202110291,37.2202110291,0.490484177287
105,37.2202110291,37.2202110291,0.490484177287
106,37.2202110291,37.2202110291,0.490484177287
107,37.2202110291,37.2202110291,0.490484177287
108,37.2202110291,37.2202110291,0.490484177287
109,37.2202110291,37.2202110291,0.490484177287
110,37.2202110291,37.2202110291,0.490484177287
111,37.2202110291,37.2202110291,0.490484177287
112,37.2202110291,37.2202110291,0.490484177287
113,37.1040840149,37.1040840149,0.488375073388
114,37.2202110291,37.2202110291,0.490484177287
115,37.2202110291,37.2202110291,0.490484177287
116,37.1040840149,37.1040840149,0.488375073388
117,37.2202110291,37.2202110291,0.490484177287
118,37.2202110291,37.2202110291,0.490484177287
119,37.2202110291,37.2202110291,0.490484177287
