,0,1,2
0,1640850.9206,1277056.84615,190066.959808
1,1032503.18583,1114302.99488,98880.8858081
2,245866.607838,473282.590752,2170327.25265
3,496873.472484,871422.247597,466798.84099
4,488014.730769,720871.082683,134522.722869
5,434382.450589,548060.775005,92549.9978161
6,820191.584242,1487472.95712,131314.377324
7,459745.478722,733199.583816,177818.511598
8,1501208.2974,1436297.29253,176063.832399
9,693703.026292,988123.334026,193436.767838
10,517169.323903,848073.546934,232667.182828
11,856115.757495,1067269.90821,181731.298643
12,455768.416236,1910346.80552,69663.1188373
13,3207493.43681,1026505.45556,104339.328869
14,719706.217495,2876153.565,90820.6257573
15,1015679.86339,1235764.59172,89522.7492061
16,1581488.28634,2077922.73602,121640.671264
17,4339000.0,1024445.43899,93121.8551024
18,2443881.28032,1121508.56514,111021.380268
19,164947.887471,345685.296383,259618.464839
20,229703.151579,473675.408637,461412.125351
21,256066.841909,508809.487519,1474425.78167
22,644457.975063,3432844.43779,153409.793468
23,286641.297725,859715.19857,57881.9217074
24,479247.213282,1224099.67974,70126.9002975
25,300321.319784,1058119.92754,60569.4355194
26,322752.044617,815742.930962,72132.5369417
27,370384.924472,2203134.33589,82067.2153348
28,530385.880876,2908171.5979,124608.533847
29,398681.049449,1007650.46487,89102.0707906
30,199292.603787,1027776.12174,47073.1407235
31,704244.005928,5324430.50451,113507.125961
32,691022.565298,18292500.0,122423.362124
