,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,63.9926658592,161.485967614,91.6828909726,58.7063296234,33.7640433958,57.1144589569,62.8791653348,40.1014983522,51.6516919157,66.0734112514,26.0863078315,81.0137748837,28.3774517668,74.6030733515,63.2008578077,61.9364601199,38.5719552364,52.5897263681,261.349548262,235.983134538,186.420722471,135.024438364,129.594147231,100.929647852,126.544698404,10000000174.4,130.665233894,146.326844086,10000000174.4,142.865823879,83.8424740662,104.632678747
1,63.9926658592,0.0,200.217794544,130.414717903,97.4381565534,72.4958703258,83.1070955324,101.610992265,66.0941349278,90.3835188457,104.805238181,80.8938539503,64.1840902445,35.6152140923,69.6620552978,19.3267778615,60.6868164241,37.3223115407,46.2179824926,300.081375192,274.714961468,225.152549401,116.953871258,108.781806197,64.0189394445,105.73235737,10000000137.5,112.594666787,128.256276979,10000000137.5,124.795256773,65.7719069598,86.5621116411
2,161.485967614,200.217794544,0.0,75.6435098124,143.035722046,127.721924218,151.136620221,121.569885963,134.123659616,131.130283544,115.256636973,136.184188284,184.298633281,173.089986473,177.887931749,199.425986492,174.469225398,162.895483003,176.913254135,99.8635806481,74.4971669238,24.9347548569,238.309296761,232.879005628,215.600948913,229.829556801,10000000289.1,233.950092291,249.611702483,10000000289.1,246.150682276,187.127332463,207.917537145
3,91.6828909726,130.414717903,75.6435098124,0.0,73.2326454049,57.9188475768,81.3335435795,51.7668093221,64.3205829749,61.3272069024,45.453560332,66.3811116429,114.49555664,103.286909832,108.084855108,129.622909851,104.666148757,93.092406362,107.110177494,175.50709046,150.140676736,100.578264669,168.50622012,163.075928987,145.797872272,160.02648016,10000000219.3,164.14701565,179.808625842,10000000219.3,176.347605635,117.324255822,138.114460504
4,58.7063296234,97.4381565534,143.035722046,73.2326454049,0.0,24.9422862276,48.3569822303,38.5754496161,31.3440216257,20.6367298254,47.6231656837,33.4045502936,81.5189952905,70.3103484824,75.1082937584,96.646348502,71.6895874077,60.1158450128,74.1336161445,242.899302694,217.53288897,167.970476903,135.529658771,130.099367638,112.821310922,127.049918811,10000000186.3,131.1704543,146.832064492,10000000186.3,143.371044286,84.347694473,105.137899154
5,33.7640433958,72.4958703258,127.721924218,57.9188475768,24.9422862276,0.0,23.4146960027,29.1151219391,6.40173539804,17.8876485199,32.3093678557,8.46226406601,56.5767090629,45.3680622547,50.1660075308,71.7040622744,46.7473011801,35.1735587852,49.1913299169,227.585504866,202.219091142,152.656679075,110.587372543,105.15708141,87.8790246948,102.107632583,10000000161.3,106.228168073,121.889778265,10000000161.3,118.428758058,59.4054082454,80.1956129267
6,57.1144589569,83.1070955324,151.136620221,81.3335435795,48.3569822303,23.4146960027,0.0,52.5298179417,17.0129606046,41.3023445226,55.7240638583,31.8126796271,33.9899306443,55.9792874613,27.5792291121,79.5984474179,24.1605227614,45.7847839918,59.8025551235,251.000200869,225.633787145,176.071375078,88.0005941246,82.5703029918,65.2922462762,79.5208541647,10000000138.8,83.6413896541,99.3029998463,10000000138.8,95.8419796397,36.8186298268,57.6088345081
7,62.8791653348,101.610992265,121.569885963,51.7668093221,38.5754496161,29.1151219391,52.5298179417,0.0,35.5168573371,26.6700111136,24.253511232,37.5773860051,85.691831002,74.4831841938,79.2811294698,100.819184213,75.8624231191,64.2886807242,78.306451856,221.433466611,196.067052887,146.50464082,139.702494482,134.272203349,116.994146634,131.222754522,10000000190.5,135.343290012,151.004900204,10000000190.5,147.543879997,88.5205301845,109.310734866
8,40.1014983522,66.0941349278,134.123659616,64.3205829749,31.3440216257,6.40173539804,17.0129606046,35.5168573371,0.0,24.289383918,38.7111032537,14.7997190225,50.1749736649,38.9663268567,43.7642721327,65.3023268763,40.345565782,28.7718233871,42.7895945189,233.987240264,208.62082654,159.058414473,104.185637145,98.7553460124,81.4772892967,95.7058971853,10000000154.9,99.8264326747,115.488042867,10000000154.9,112.02702266,53.0036728474,73.7938775287
9,51.6516919157,90.3835188457,131.130283544,61.3272069024,20.6367298254,17.8876485199,41.3023445226,26.6700111136,24.289383918,0.0,35.7177271813,26.3499125859,74.4643575828,63.2557107747,68.0536560507,89.5917107943,64.6349497,53.0612073051,67.0789784368,230.993864192,205.627450467,156.065038401,128.475021063,123.04472993,105.766673215,119.995281103,10000000179.2,124.115816593,139.777426785,10000000179.2,136.316406578,77.2930567653,98.0832614466
10,66.0734112514,104.805238181,115.256636973,45.453560332,47.6231656837,32.3093678557,55.7240638583,24.253511232,38.7111032537,35.7177271813,0.0,40.7716319217,88.8860769186,77.6774301104,82.4753753864,104.01343013,79.0566690357,67.4829266408,81.5006977726,215.120217621,189.753803897,140.19139183,142.896740399,137.466449266,120.18839255,134.417000439,10000000193.7,138.537535928,154.199146121,10000000193.7,150.738125914,91.7147761011,112.504980782
11,26.0863078315,80.8938539503,136.184188284,66.3811116429,33.4045502936,8.46226406601,31.8126796271,37.5773860051,14.7997190225,26.3499125859,40.7716319217,0.0,64.9746926874,53.7660458792,58.5639911552,80.1020458988,55.1452848045,43.5715424096,57.5893135413,236.047768932,210.681355208,161.118943141,118.985356168,113.555065035,96.2770083192,110.505616208,10000000169.7,114.626151697,130.287761889,10000000169.7,126.826741683,67.8033918699,88.5935965511
12,81.0137748837,64.1840902445,184.298633281,114.49555664,81.5189952905,56.5767090629,33.9899306443,85.691831002,50.1749736649,74.4643575828,88.8860769186,64.9746926874,0.0,52.6363231169,6.41070153216,46.5412532525,19.0773147638,42.4418196473,55.3546459671,284.162213929,258.795800205,209.233388138,54.9433999592,49.5131088264,32.2350521107,46.4636599992,10000000105.7,50.5841954887,66.2458056808,10000000105.7,62.7847854743,3.76143566135,24.5516403426
