,0,1,2
0,38.5719552364,104.632678747,171.333584633
1,37.3223115407,86.5621116411,210.065411563
2,162.895483003,207.917537145,9.84761701888
3,93.092406362,138.114460504,85.4911268313
4,60.1158450128,105.137899154,152.883339065
5,35.1735587852,80.1956129267,137.569541237
6,45.7847839918,57.6088345081,160.98423724
7,64.2886807242,109.310734866,131.417502982
8,28.7718233871,73.7938775287,143.971276635
9,53.0612073051,98.0832614466,140.977900563
10,67.4829266408,112.504980782,125.104253992
11,43.5715424096,88.5935965511,146.031805303
12,42.4418196473,24.5516403426,194.1462503
13,10.1945034696,76.2552269807,182.937603492
14,36.0311181151,30.0296053959,187.735548768
15,36.5305034892,68.9192746491,209.273603511
16,23.3645048835,42.6962186276,184.316842417
17,0.0,66.0607235111,172.743100022
18,14.0177711317,78.9735498309,186.760871154
19,262.759063651,307.781117793,90.0159636292
20,237.392649927,282.414704069,64.649549905
21,187.83023786,232.852292002,15.0871378381
22,96.4524831276,30.3917596165,248.15691378
23,91.0221919948,70.2443588321,242.726622647
24,73.7441352792,54.6130735074,225.448565932
25,87.9727431677,51.7327733025,239.67717382
26,10000000147.2,10000000128.1,10000000298.9
27,92.0932786572,26.0325551461,243.79770931
28,107.754888849,41.6941653382,259.459319502
29,10000000147.2,10000000128.1,10000000298.9
30,104.293868643,38.2331451316,255.998299295
31,45.2705188298,20.7902046813,196.974949482
32,66.0607235111,0.0,217.765154164
