,lines,shapely,length,start,end
2105,"LINESTRING (105.7529071408739 20.08574578106073, 105.7529078900158 20.08574945536682, 105.7529092525905 20.0857667412007)","LINESTRING (105.7529071408739 20.08574578106073, 105.7529078900158 20.08574945536682, 105.7529092525905 20.0857667412007)",2.33242211961,POINT (105.7529071408739 20.08574578106073),POINT (105.7529092525905 20.0857667412007)
2107,"LINESTRING (105.7531378504873 20.12653842185026, 105.7531213877454 20.12653289986705, 105.7531193810367 20.12653193976404)","LINESTRING (105.7531378504873 20.12653842185026, 105.7531213877454 20.12653289986705, 105.7531193810367 20.12653193976404)",2.06126865999,POINT (105.7531378504873 20.12653842185026),POINT (105.7531193810367 20.12653193976404)
2108,"LINESTRING (105.7531206959243 20.12477256418084, 105.7531197384289 20.12477608590094)","LINESTRING (105.7531206959243 20.12477256418084, 105.7531197384289 20.12477608590094)",0.402395004263,POINT (105.7531206959243 20.12477256418084),POINT (105.7531197384289 20.12477608590094)
2110,"LINESTRING (105.7531212446047 20.09172505352049, 105.7531225605999 20.09172304337218)","LINESTRING (105.7531212446047 20.09172505352049, 105.7531225605999 20.09172304337218)",0.26157348312,POINT (105.7531212446047 20.09172505352049),POINT (105.7531225605999 20.09172304337218)
2115,"LINESTRING (105.7531662286692 20.12662968370286, 105.753173223636 20.12663334069388)","LINESTRING (105.7531662286692 20.12662968370286, 105.753173223636 20.12663334069388)",0.835715787013,POINT (105.7531662286692 20.12662968370286),POINT (105.753173223636 20.12663334069388)
2116,"LINESTRING (105.7531662286692 20.12662968370286, 105.7531673856223 20.12662966356816)","LINESTRING (105.7531662286692 20.12662968370286, 105.7531673856223 20.12662966356816)",0.12095606561,POINT (105.7531662286692 20.12662968370286),POINT (105.7531673856223 20.12662966356816)
2117,"LINESTRING (105.7533516603799 20.12612672959748, 105.7533376222026 20.12612259053324)","LINESTRING (105.7533516603799 20.12612672959748, 105.7533376222026 20.12612259053324)",1.53724078738,POINT (105.7533516603799 20.12612672959748),POINT (105.7533376222026 20.12612259053324)
2118,"LINESTRING (105.7533433778748 20.12620252611504, 105.7533590648378 20.12620735739071, 105.7533698648861 20.12620927159376)","LINESTRING (105.7533433778748 20.12620252611504, 105.7533590648378 20.12620735739071, 105.7533698648861 20.12620927159376)",2.87335202731,POINT (105.7533433778748 20.12620252611504),POINT (105.7533698648861 20.12620927159376)
2122,"LINESTRING (105.7535160911725 20.12481270019936, 105.753513204094 20.1248245817921, 105.7535102104422 20.12483248247401)","LINESTRING (105.7535160911725 20.12481270019936, 105.753513204094 20.1248245817921, 105.7535102104422 20.12483248247401)",2.2778025525,POINT (105.7535160911725 20.12481270019936),POINT (105.7535102104422 20.12483248247401)
2123,"LINESTRING (105.7535580748726 20.12573431717808, 105.7535687518396 20.12574409850301)","LINESTRING (105.7535580748726 20.12573431717808, 105.7535687518396 20.12574409850301)",1.55479962679,POINT (105.7535580748726 20.12573431717808),POINT (105.7535687518396 20.12574409850301)
