,points,Junction
POINT (105.68702702557 20.12275415350548),3,POINT (105.68702702557 20.12275415350548)
POINT (105.7774542594887 20.11938475001881),3,POINT (105.7774542594887 20.11938475001881)
POINT (105.7059933421083 20.12003988233864),3,POINT (105.7059933421083 20.12003988233864)
POINT (105.6540026675734 20.19956074417216),3,POINT (105.6540026675734 20.19956074417216)
POINT (105.6171838345911 20.11753991631128),3,POINT (105.6171838345911 20.11753991631128)
POINT (105.6736893390815 20.1248057293335),3,POINT (105.6736893390815 20.1248057293335)
POINT (105.6614600259276 20.16281735925211),3,POINT (105.6614600259276 20.16281735925211)
POINT (105.7686253687092 20.08946112422945),3,POINT (105.7686253687092 20.08946112422945)
POINT (105.746189729555 20.13009811681537),3,POINT (105.746189729555 20.13009811681537)
POINT (105.7621398370071 20.08431171288924),3,POINT (105.7621398370071 20.08431171288924)
POINT (105.6728119169899 20.12022309508256),3,POINT (105.6728119169899 20.12022309508256)
POINT (105.6026446666964 20.18815013054924),3,POINT (105.6026446666964 20.18815013054924)
POINT (105.662567295373 20.16317633764751),3,POINT (105.662567295373 20.16317633764751)
POINT (105.6797047231725 20.09137376219683),3,POINT (105.6797047231725 20.09137376219683)
POINT (105.6253467810161 20.11082428025733),3,POINT (105.6253467810161 20.11082428025733)
POINT (105.6357109472193 20.15907862436731),3,POINT (105.6357109472193 20.15907862436731)
POINT (105.6900261417187 20.1383951837805),3,POINT (105.6900261417187 20.1383951837805)
POINT (105.6693873062571 20.12848846970757),3,POINT (105.6693873062571 20.12848846970757)
POINT (105.6480038243224 20.12413219484666),3,POINT (105.6480038243224 20.12413219484666)
POINT (105.6918878723048 20.08336622278819),3,POINT (105.6918878723048 20.08336622278819)
POINT (105.5787916661253 20.22077248499941),3,POINT (105.5787916661253 20.22077248499941)
POINT (105.7621186441344 20.1292015038771),3,POINT (105.7621186441344 20.1292015038771)
POINT (105.7135529961735 20.1107794939919),3,POINT (105.7135529961735 20.1107794939919)
POINT (105.6219728192725 20.11553926517638),3,POINT (105.6219728192725 20.11553926517638)
POINT (105.6704991910755 20.17301549416585),3,POINT (105.6704991910755 20.17301549416585)
POINT (105.5768062326237 20.21344024935121),3,POINT (105.5768062326237 20.21344024935121)
POINT (105.7630605458728 20.08263054062824),3,POINT (105.7630605458728 20.08263054062824)
POINT (105.7505182728745 20.08692325331444),3,POINT (105.7505182728745 20.08692325331444)
POINT (105.6446370954297 20.16424800153343),3,POINT (105.6446370954297 20.16424800153343)
POINT (105.6645162657794 20.23310847962908),3,POINT (105.6645162657794 20.23310847962908)
POINT (105.4622889481574 20.32036066905427),3,POINT (105.4622889481574 20.32036066905427)
POINT (105.6221219487426 20.10953482447672),3,POINT (105.6221219487426 20.10953482447672)
POINT (105.6444688403633 20.11663911555328),3,POINT (105.6444688403633 20.11663911555328)
POINT (105.6699640388696 20.13846089956867),3,POINT (105.6699640388696 20.13846089956867)
POINT (105.6072922429684 20.23444148046607),3,POINT (105.6072922429684 20.23444148046607)
POINT (105.6834428283129 20.07290573486814),3,POINT (105.6834428283129 20.07290573486814)
POINT (105.6766150034559 20.11354610447815),3,POINT (105.6766150034559 20.11354610447815)
POINT (105.6705233711727 20.17658836616635),3,POINT (105.6705233711727 20.17658836616635)
POINT (105.7142802066267 20.11986740248991),3,POINT (105.7142802066267 20.11986740248991)
POINT (105.7062449226831 20.12001642608095),3,POINT (105.7062449226831 20.12001642608095)
POINT (105.7622570853505 20.0966162402753),3,POINT (105.7622570853505 20.0966162402753)
POINT (105.6365128183835 20.16153108950771),3,POINT (105.6365128183835 20.16153108950771)
POINT (105.6088815045668 20.18517106753005),3,POINT (105.6088815045668 20.18517106753005)
POINT (105.675329188734 20.12984531453005),3,POINT (105.675329188734 20.12984531453005)
POINT (105.7417400631776 20.06840977683301),3,POINT (105.7417400631776 20.06840977683301)
POINT (105.5243902871467 20.29464565092256),3,POINT (105.5243902871467 20.29464565092256)
POINT (105.6479722353069 20.12445649510284),3,POINT (105.6479722353069 20.12445649510284)
POINT (105.4640431305941 20.36119425367489),3,POINT (105.4640431305941 20.36119425367489)
POINT (105.638231244552 20.21379137861454),3,POINT (105.638231244552 20.21379137861454)
POINT (105.6480113282901 20.12400989429111),3,POINT (105.6480113282901 20.12400989429111)
POINT (105.6064126335756 20.27554542397149),3,POINT (105.6064126335756 20.27554542397149)
POINT (105.7408447440724 20.06880349449498),3,POINT (105.7408447440724 20.06880349449498)
POINT (105.7739643212581 20.12318636987169),3,POINT (105.7739643212581 20.12318636987169)
POINT (105.6807761634381 20.12609378781966),3,POINT (105.6807761634381 20.12609378781966)
POINT (105.6395919117024 20.21656795768408),3,POINT (105.6395919117024 20.21656795768408)
POINT (105.4830614751236 20.2992480485208),3,POINT (105.4830614751236 20.2992480485208)
POINT (105.6471843330147 20.12333377956623),3,POINT (105.6471843330147 20.12333377956623)
POINT (105.5520195932107 20.28094582996281),3,POINT (105.5520195932107 20.28094582996281)
POINT (105.6099000585791 20.14338203144949),3,POINT (105.6099000585791 20.14338203144949)
POINT (105.7502851143613 20.08588393162719),3,POINT (105.7502851143613 20.08588393162719)
POINT (105.7342440334553 20.14802408191627),3,POINT (105.7342440334553 20.14802408191627)
POINT (105.6162785261401 20.20910021482062),3,POINT (105.6162785261401 20.20910021482062)
POINT (105.6248074569467 20.12219811109405),3,POINT (105.6248074569467 20.12219811109405)
POINT (105.6032869204835 20.23722099874179),3,POINT (105.6032869204835 20.23722099874179)
POINT (105.7531349127581 20.12662007411239),3,POINT (105.7531349127581 20.12662007411239)
POINT (105.7269122697196 20.14615679119478),3,POINT (105.7269122697196 20.14615679119478)
POINT (105.6769989008157 20.13928380454013),3,POINT (105.6769989008157 20.13928380454013)
POINT (105.7641806344436 20.1275969123969),3,POINT (105.7641806344436 20.1275969123969)
POINT (105.5702854056484 20.229399400106),3,POINT (105.5702854056484 20.229399400106)
POINT (105.6311933404201 20.16110769059846),3,POINT (105.6311933404201 20.16110769059846)
POINT (105.6136569386112 20.12111316975998),3,POINT (105.6136569386112 20.12111316975998)
POINT (105.6734395854381 20.13008505418371),3,POINT (105.6734395854381 20.13008505418371)
POINT (105.7805829682843 20.11242726956027),3,POINT (105.7805829682843 20.11242726956027)
POINT (105.742378799314 20.14220473560133),3,POINT (105.742378799314 20.14220473560133)
POINT (105.7302797526988 20.15010465649559),3,POINT (105.7302797526988 20.15010465649559)
POINT (105.6797981230261 20.13301819175263),3,POINT (105.6797981230261 20.13301819175263)
POINT (105.5697379126286 20.25285281629724),3,POINT (105.5697379126286 20.25285281629724)
POINT (105.6422161362454 20.15993398027008),3,POINT (105.6422161362454 20.15993398027008)
POINT (105.6494450855515 20.14959513920131),3,POINT (105.6494450855515 20.14959513920131)
POINT (105.4494855179465 20.36410097672888),3,POINT (105.4494855179465 20.36410097672888)
POINT (105.6798306590513 20.13753484839721),3,POINT (105.6798306590513 20.13753484839721)
POINT (105.7344538307868 20.14862850500788),3,POINT (105.7344538307868 20.14862850500788)
POINT (105.6897195447965 20.15958589190219),3,POINT (105.6897195447965 20.15958589190219)
POINT (105.5997050989914 20.10900769983243),3,POINT (105.5997050989914 20.10900769983243)
POINT (105.6428340762401 20.11565474138931),3,POINT (105.6428340762401 20.11565474138931)
POINT (105.678873346617 20.13391875871902),3,POINT (105.678873346617 20.13391875871902)
POINT (105.5743027797744 20.21836107551519),3,POINT (105.5743027797744 20.21836107551519)
POINT (105.7273194089234 20.1310653417818),3,POINT (105.7273194089234 20.1310653417818)
POINT (105.6529047190042 20.12560594734023),3,POINT (105.6529047190042 20.12560594734023)
POINT (105.639630674068 20.14283639800224),3,POINT (105.639630674068 20.14283639800224)
POINT (105.6692687521661 20.12836645834552),3,POINT (105.6692687521661 20.12836645834552)
